apartment_id,apartment_name,region_name,predicted_cutoff_score
apt-001,서울 도심 리버파크,서울,58.0
apt-002,서울 서남 센트럴,서울,52.0
apt-003,서울 동북 포레나,서울,47.0
apt-004,경기 광교 스카이뷰,경기,45.0
apt-005,경기 수원 더퍼스트,경기,41.0
apt-006,경기 용인 센트럴파크,경기,38.0
apt-007,경기 화성 그린시티,경기,34.0
apt-008,인천 검단 에듀타운,인천,39.5
apt-009,인천 송도 오션뷰,인천,44.0
apt-010,부산 해운대 센트럴,부산,46.0
apt-011,부산 명지 더샵,부산,37.0
apt-012,대구 수성 프라임,대구,43.0
apt-013,대구 달서 리버뷰,대구,35.0
apt-014,대전 둔산 포레스트,대전,40.0
apt-015,대전 유성 파크시티,대전,36.0
apt-016,광주 상무 센트럴,광주,34.5
apt-017,광주 첨단 그린힐,광주,31.0
apt-018,세종 중앙 더클래스,세종,49.0
apt-019,충남 천안 스마트시티,충남,30.0
apt-020,충북 청주 에코파크,충북,28.0
apt-021,강원 원주 혁신도시,강원,26.0
apt-022,전북 전주 한옥뷰,전북,27.5
apt-023,전남 순천만 센트럴,전남,25.0
apt-024,경남 창원 메트로,경남,32.0
apt-025,제주 오션파크,제주,33.0
